canton_abbreviation;q_items;canton_name;p276_location
AG;Q88937964;Aargau;Q11972
AI;Q88938134;Appenzell Innerrhoden;Q12094
AR;Q88938156;Appenzell Ausserrhoden;Q12079
BE;Q88938180;Bern;Q11911
BL;Q88938200;Basel-Landschaft;Q12146
BS;Q88938225;Basel-Stadt;Q12172
FR;Q88938262;Fribourg;Q12640
GE;Q88938282;Geneva;Q11917
GL;Q88938314;Glarus;Q11922
GR;Q88938404;Grisons;Q11925
JU;Q88938426;Jura;Q12755
LU;Q88938450;Luzern;Q12121
NE;Q88938464;Neuchatel;Q12738
NW;Q88938509;Nidwalden;Q12592
OW;Q88938535;Obwalden;Q12573
SG;Q88938552;St. Gallen;Q12746
SH;Q88938582;Schaffhausen;Q12697
SO;Q88938609;Solothurn;Q11929
SZ;Q88938627;Schwyz;Q12433
TG;Q88938653;Thurgau;Q12713
TI;Q88938668;Ticino;Q12724
UR;Q88938714;Uri;Q12404
VD;Q88938757;Vaud;Q12771
VS;Q88938792;Valais;Q834
ZG;Q88938822;Zug;Q11933
ZH;Q88938850;ZÅrich;Q11943
